City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,boke,10.9409,-14.2967,22.86,86,39,1.47,GN,1670292653
304,castro,-24.7911,-50.0119,18.81,95,97,1.15,BR,1670292419
305,kattivakkam,13.2167,80.3167,25.05,74,52,4.22,IN,1670292654
306,borisovka,50.6236,35.9903,-10.92,48,71,3.99,RU,1670292654
307,rudnogorsk,57.2639,103.7519,-14.21,91,100,5.58,RU,1670292654
308,nabire,-3.3667,135.4833,30.85,53,44,1.88,ID,1670292655
309,kidal,18.4411,1.4078,24.51,17,100,4.49,ML,1670292655
310,hobyo,5.3505,48.5268,25.78,84,73,8.6,SO,1670292656
311,hambantota,6.1241,81.1185,23.19,100,20,1.03,LK,1670292373
312,klaksvik,62.2266,-6.589,3.51,61,88,11.54,FO,1670292656
313,anadyr,64.75,177.4833,-0.72,100,75,22.8,RU,1670292657
314,champerico,14.3,-91.9167,26.0,79,28,0.94,GT,1670292657
315,saint-paul,-21.0096,55.2707,25.05,76,100,2.74,RE,1670292658
316,poum,-20.2333,164.0167,27.47,80,100,6.19,NC,1670292658
317,haines junction,60.7522,-137.5108,-13.89,97,67,0.88,CA,1670292658
318,chalus,36.655,51.4204,7.3,71,47,3.09,IR,1670292659
319,alofi,-19.0595,-169.9187,29.94,62,40,2.57,NU,1670292660
320,nuevo san juan parangaricutiro,19.4,-102.1333,14.52,80,0,1.78,MX,1670292660
321,bandiagara,14.3501,-3.6104,27.02,21,99,4.03,ML,1670292660
322,coquimbo,-29.9533,-71.3436,14.85,94,0,1.54,CL,1670292661
323,pevek,69.7008,170.3133,-24.59,83,100,1.3,RU,1670292661
324,gat,31.61,34.7642,14.67,100,2,1.88,IL,1670292661
325,linqiong,30.4159,103.4609,7.72,78,100,1.41,CN,1670292662
326,hovd,48.0056,91.6419,-16.9,79,27,1.63,MN,1670292662
327,ondjiva,-17.0667,15.7333,23.74,49,53,2.65,AO,1670292663
328,nautla,20.2167,-96.7833,23.37,86,0,5.62,MX,1670292663
329,bafq,31.6128,55.4107,5.83,61,9,0.94,IR,1670292664
330,leiyang,26.4024,112.8591,5.53,87,100,1.55,CN,1670292664
331,lompoc,34.6391,-120.4579,12.79,93,0,2.57,US,1670292665
332,xuddur,4.1213,43.8894,21.48,87,16,4.62,SO,1670292665
333,caravelas,-17.7125,-39.2481,22.11,89,85,2.22,BR,1670292665
334,trat,12.5,102.5,28.82,80,100,4.96,TH,1670292666
335,lagoa,39.05,-27.9833,16.0,77,100,11.62,PT,1670292666
336,dawei,14.0833,98.2,27.58,66,79,5.37,MM,1670292667
337,hojai,26.0,92.8667,17.32,80,0,1.23,IN,1670292345
338,broken hill,-31.95,141.4333,24.54,24,96,2.53,AU,1670292667
339,shingu,33.7333,135.9833,12.33,50,0,2.12,JP,1670292668
340,murchison,-41.8,172.3333,23.61,34,4,2.29,NZ,1670292668
341,kaeo,-35.1,173.7833,18.25,84,100,2.78,NZ,1670292669
342,axim,4.8699,-2.2405,25.81,87,63,2.29,GH,1670292669
343,avdiyivka,48.1399,37.7426,-6.22,41,1,5.78,UA,1670292670
344,port elizabeth,-33.918,25.5701,15.73,90,100,4.92,ZA,1670292670
345,lethem,3.3803,-59.7968,24.49,84,98,2.68,GY,1670292670
346,murud,18.3258,72.965,24.56,72,7,1.73,IN,1670292496
347,cidreira,-30.1811,-50.2056,21.78,92,100,3.61,BR,1670292671
348,north bend,43.4065,-124.2243,8.42,97,100,0.0,US,1670292435
349,sorland,67.667,12.6934,1.92,79,100,16.36,NO,1670292672
350,torbay,47.6666,-52.7314,4.86,95,100,0.45,CA,1670292672
351,ponta delgada,37.7333,-25.6667,17.4,77,20,6.69,PT,1670292673
352,fairbanks,64.8378,-147.7164,-5.05,91,100,0.0,US,1670292551
353,lebedinyy,58.5167,125.5167,-19.82,96,100,2.9,RU,1670292674
354,saiha,22.4833,92.9667,20.36,63,7,0.84,IN,1670292674
355,assiniboia,49.6334,-105.9845,-15.21,95,100,1.97,CA,1670292485
356,vodnyy,63.5046,53.4095,-14.3,88,72,3.02,RU,1670292675
357,matara,5.9485,80.5353,24.44,87,100,1.62,LK,1670292675
358,necochea,-38.5473,-58.7368,25.52,44,14,9.64,AR,1670292676
359,port hedland,-20.3167,118.5667,40.03,15,54,3.6,AU,1670292676
360,altamont,42.2068,-121.7372,1.05,91,75,0.0,US,1670292677
361,acandi,8.5063,-77.2778,23.91,91,100,2.02,CO,1670292677
362,honolulu,21.3069,-157.8583,26.59,78,74,3.58,US,1670291955
363,waverly,42.7392,-84.6208,4.09,57,100,2.57,US,1670292460
364,myitkyina,25.3833,97.4,18.22,50,0,1.12,MM,1670292678
